dulcinian_redistribution;Redistribute Wealth from Treasury;;;;;;;;;;;;;x
dulcinian_redistribution_desc;All good Dulcinians share in an egalitarian society - have you done your part?;;;;;;;;;;;;;x
corrupt_dulcinian_1;Somewhat Corrupt Dulcinian;;;;;;;;;;;;;x
corrupt_dulcinian_1_desc;This ruler gravitates excessive wealth and loves power - why doesn't he or she give it to the needy and poor like a good Dulcinian? Fellow Dulcinians are distrustful of this ruler. ;;;;;;;;;;;;;x
corrupt_dulcinian_2;Very Corrupt Dulcinian;;;;;;;;;;;;;x
corrupt_dulcinian_2_desc;This ruler supports an oppressive hierarchy, one that wallows in luxury. If he or she doesn't redistribute the wealth soon, other Dulcinians might have to "purify" him or her!;;;;;;;;;;;;;x
corrupt_dulcinian_3;Irredeemably Corrupt Dulcinian;;;;;;;;;;;;;x
corrupt_dulcinian_3_desc;This ruler is irredeemably corrupt - power-hungry, repressive, and greedy beyond measure. All of his or her realm, there is talk of "purifying" him or her... permanently.;;;;;;;;;;;;;x
hypocrite_county_conquest;$ORDER$$FIRST_ADJ$ Purification of [Title.GetBaseName];;;;;;;;;;;;;x
hypocrite_county_conquest_desc;§Y$CLAIMANT$§! can plunder and conquer the lands held by the corrupt §Y$TARGET$§! and purify them of such filth..;;;;;;;;;;;;;x
dulcinian;Dulcinian;;;;;;;;;;;;;x
dulcinian_desc;The Dulcinian movement was a religious sect of the Late Middle Ages, originating within the Apostolic Brethren. The Dulcinians, or Dulcinites, and Apostolics were inspired by Franciscan ideals and influenced by the Joachimites, but were considered heretical by the Catholic Church. They espoused the end of feudalism, redistribution and sharing of wealth and power, and an egalitarian society. They were also notorious for their raids and plundering, and senseless slaughter of innocents, justified in their view because they the believers were pure and those who accepted the Church were corrupt beyond salvation.\n\nIn game, the Dulcinians can raid, have female temple holders, and a pope. They also have access to a special CB usable on "corrupt" Christians, but cannot go above low crown authority. Additionally, Dulcinian rulers who hoard gold or have low crown authority will suffer massive malus.;;;;;;;;;;;;;x
TT_dulcinian_law;Dulcinians do not believe in tyrannical rulership!;;;;;;;;;;;;;x
d_dulcinian;Dulcinian Pope;;;;;;;;;;;;;x
d_dulcinian_desc;Dulcinian Papacy;;;;;;;;;;;;;x
create_dulcinian_papacy;Create Dulcinian Papacy;;;;;;;;;;;;;x
create_dulcinian_papacy_desc;Rome has been purified of the corrupt Church! Now it is time to herald the new holy Pope, who will lead us spiritually in opposition to the sinful Catholic Pope!;;;;;;;;;;;;;x
